student_id,gender,age,study_hours_per_week,attendance_percentage,previous_score,assignments_completed,sleep_hours_per_day,internet_access,extracurricular_activities,parental_education,tutoring,final_score,performance_level
STU0001,Female,17,30,58,96,9,5,Yes,No,Graduate,No,92.3,Excellent
STU0002,Male,22,4,86,45,7,4.5,Yes,No,Postgraduate,No,52.5,Needs Improvement
STU0003,Male,16,16,93,40,9,7.3,Yes,Yes,High School,No,69.4,Average
STU0004,Male,20,14,81,76,7,5.8,Yes,Yes,Graduate,No,72.1,Good
STU0005,Male,17,28,76,64,5,5.4,Yes,Yes,High School,No,77.3,Good
STU0006,Female,21,22,98,74,8,5.4,No,Yes,Graduate,No,86.9,Excellent
STU0007,Female,22,35,80,88,3,7.7,Yes,Yes,High School,No,85.8,Excellent
STU0008,Male,16,8,73,40,2,6.3,Yes,Yes,Graduate,Yes,57,Average
STU0009,Male,16,15,100,98,6,7.9,Yes,No,Graduate,No,90.4,Excellent
STU0010,Male,20,7,90,91,8,5.3,No,No,High School,No,81.9,Good
STU0011,Male,20,15,96,82,7,7.9,Yes,No,Postgraduate,Yes,81.2,Good
STU0012,Female,15,30,91,59,6,4.8,Yes,Yes,Graduate,No,76.7,Good
STU0013,Female,17,19,81,86,6,7.4,Yes,No,Graduate,No,85.8,Excellent
STU0014,Female,16,28,56,83,7,8.5,No,No,Diploma,No,83.5,Good
STU0015,Male,22,27,82,76,5,7.6,Yes,Yes,High School,No,86.1,Excellent
STU0016,Female,15,6,77,69,10,8.7,Yes,Yes,Graduate,No,74.4,Good
STU0017,Female,17,11,95,88,8,7.3,No,Yes,Postgraduate,No,88,Excellent
STU0018,Male,17,10,87,83,7,6.9,Yes,Yes,High School,Yes,79.5,Good
STU0019,Male,22,22,95,65,4,5.3,Yes,Yes,Postgraduate,No,77.5,Good
STU0020,Female,17,18,81,83,7,8.9,Yes,Yes,Graduate,Yes,86.3,Excellent
STU0021,Female,19,23,96,44,4,8.1,Yes,No,Graduate,No,72.4,Good
STU0022,Male,18,22,75,53,2,8,Yes,No,Graduate,No,64.5,Average
STU0023,Female,19,21,67,91,9,8.4,Yes,Yes,Diploma,No,83.9,Good
STU0024,Female,15,8,64,69,2,4.6,Yes,Yes,Graduate,No,54.6,Needs Improvement
STU0025,Male,18,24,92,56,2,4.5,No,No,Diploma,Yes,65.7,Average
STU0026,Female,16,22,70,55,3,6.2,Yes,Yes,Diploma,No,69.1,Average
STU0027,Male,15,24,65,69,6,8.7,Yes,Yes,High School,No,75.2,Good
STU0028,Male,21,3,67,62,4,4.8,Yes,No,Diploma,Yes,58.2,Average
STU0029,Male,20,7,81,40,5,6.1,Yes,No,Diploma,Yes,63.5,Average
STU0030,Male,15,5,79,67,5,6.7,Yes,Yes,Diploma,No,65.9,Average
STU0031,Female,17,26,93,74,8,6.7,Yes,No,Graduate,No,83.7,Good
STU0032,Male,16,21,60,45,6,8.2,No,Yes,Graduate,Yes,68.1,Average
STU0033,Female,20,33,81,68,10,7.2,Yes,No,High School,Yes,88.2,Excellent
STU0034,Female,20,19,97,45,4,5.4,Yes,Yes,Postgraduate,No,68.2,Average
STU0035,Male,18,33,78,45,6,4.6,Yes,No,Graduate,Yes,73.5,Good
STU0036,Male,15,25,63,62,6,4.8,Yes,Yes,Graduate,No,72.2,Good
STU0037,Female,15,12,73,77,8,6.9,No,No,High School,No,78.1,Good
STU0038,Female,16,11,98,91,7,8.4,Yes,No,High School,No,81.1,Good
STU0039,Female,17,8,86,74,2,8.2,Yes,Yes,Graduate,No,67.4,Average
STU0040,Male,22,34,87,96,4,5.1,Yes,No,Graduate,No,91.8,Excellent
STU0041,Female,20,23,77,93,7,6.9,No,No,High School,Yes,89.9,Excellent
STU0042,Male,19,9,58,98,3,7.6,Yes,Yes,Graduate,No,73.4,Good
STU0043,Female,17,19,76,50,6,6.4,Yes,Yes,Graduate,No,71.9,Good
STU0044,Female,22,4,75,66,6,6.2,Yes,Yes,Graduate,No,63.7,Average
STU0045,Male,19,20,93,59,9,8.7,Yes,Yes,Graduate,Yes,80,Good
STU0046,Male,15,3,89,98,2,4.5,Yes,Yes,Graduate,No,65.4,Average
STU0047,Female,16,23,72,69,8,4.7,No,No,Diploma,Yes,75.7,Good
STU0048,Female,22,16,69,58,10,6.9,Yes,Yes,Graduate,No,72,Good
STU0049,Female,18,21,83,61,9,6.6,Yes,No,High School,No,75.8,Good
STU0050,Female,18,30,92,85,6,8,Yes,Yes,High School,Yes,99,Excellent
STU0051,Female,16,8,99,73,6,4.7,Yes,Yes,Graduate,Yes,73.2,Good
STU0052,Male,18,12,61,89,4,5.4,Yes,Yes,Diploma,Yes,72.4,Good
STU0053,Male,21,18,99,89,2,7.5,No,Yes,Graduate,No,82.4,Good
STU0054,Female,18,13,74,66,2,5,Yes,No,Graduate,No,59.2,Average
STU0055,Female,21,16,81,88,2,5.8,Yes,No,Graduate,No,79.1,Good
STU0056,Female,18,21,65,98,4,5.6,Yes,No,Graduate,Yes,80.4,Good
STU0057,Female,22,27,82,95,5,6.4,No,No,Graduate,Yes,90.9,Excellent
STU0058,Female,15,19,81,59,6,7,Yes,Yes,Graduate,No,75.9,Good
STU0059,Female,17,15,55,94,2,7.8,Yes,Yes,Graduate,Yes,74.3,Good
STU0060,Female,22,33,63,65,5,6,Yes,No,High School,Yes,79.3,Good
